Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.003869350,0,r(0x72),(149)(0x95),Write,ACK
0.004145810,2,~(0x7E),BS (0x08),Write,ACK
0.004238390,2,~(0x7E),NUL(0x00),Write,ACK
0.004488420,4,s(0x73),LF (0x0A),Read,ACK
0.004770140,6,~(0x7E),HT (0x09),Write,ACK
0.004862720,6,~(0x7E),NUL(0x00),Write,ACK
0.005123930,8,r(0x72),(150)(0x96),Write,ACK
0.005384550,10,DEL(0x7F),ENQ(0x05),Read,ACK
0.005477120,10,DEL(0x7F),NUL(0x00),Read,ACK
0.005747420,12,s(0x73),(158)(0x9E),Read,NAK
0.006007410,14,~(0x7E),VT (0x0B),Write,ACK
0.006099990,14,~(0x7E),NUL(0x00),Write,ACK
0.006360750,16,r(0x72),(151)(0x97),Write,NAK
0.006616540,18,?(0x3F),ACK(0x06),Read,ACK
0.006709120,18,?(0x3F),NUL(0x00),Read,ACK
0.006886700,,y(0x79),,Read,NAK
0.006968990,20,y(0x79),STX(0x02),Read,NAK
0.007240060,22,~(0x7E),CR (0x0D),Write,ACK
0.007332650,22,~(0x7E),NUL(0x00),Write,ACK
0.007592850,24,r(0x72),(230)(0xE6),Write,ACK
0.007851310,26,~(0x7E),SO (0x0E),Write,ACK
0.007943890,26,~(0x7E),NUL(0x00),Write,ACK
0.008203460,28,r(0x72),(137)(0x89),Write,NAK
0.008452520,30,?(0x3F),BEL(0x07),Read,NAK
0.008545110,30,?(0x3F),NUL(0x00),Read,ACK
0.008814720,32,s(0x73),SOH(0x01),Read,NAK
0.009074920,34,~(0x7E),DLE(0x10),Write,ACK
0.009167500,34,~(0x7E),(198)(0xC6),Write,ACK
0.009429830,36,r(0x72),(148)(0x94),Write,ACK
0.009692030,38,~(0x7E),DC1(0x11),Write,ACK
0.009784610,38,~(0x7E),a(0x61),Write,ACK
0.009954150,,9(0x39),,Read,NAK
0.010026170,40,9(0x39),(176)(0xB0),Read,NAK
0.010306230,42,~(0x7E),DC2(0x12),Write,ACK
0.010398810,42,~(0x7E),NUL(0x00),Write,ACK
0.010661050,44,r(0x72),(149)(0x95),Write,ACK
0.010830610,,DEL(0x7F),,Read,NAK
0.010902610,46,DEL(0x7F),EOT(0x04),Read,NAK
0.010995190,46,DEL(0x7F),(177)(0xB1),Read,NAK
0.011277400,48,s(0x73),DC4(0x14),Read,NAK
0.011535540,50,~(0x7E),DC4(0x14),Write,ACK
0.011628140,50,~(0x7E),a(0x61),Write,ACK
0.011890250,52,r(0x72),(150)(0x96),Write,ACK
0.012152370,54,~(0x7E),SUB(0x1A),Write,NAK
0.012234670,54,~(0x7E),NUL(0x00),Write,ACK
0.012507120,56,s(0x73),(159)(0x9F),Read,ACK
0.012766400,58,~(0x7E),SYN(0x16),Write,ACK
0.012858980,58,~(0x7E),(198)(0xC6),Write,ACK
0.013125120,60,r(0x72),(151)(0x97),Write,ACK
0.013386580,62,~(0x7E),ETB(0x17),Write,ACK
0.013479160,62,~(0x7E),a(0x61),Write,ACK
0.013648500,,s(0x73),,Read,NAK
0.013730790,64,s(0x73),STX(0x02),Read,NAK
0.013999130,66,~(0x7E),CAN(0x18),Write,ACK
0.014091680,66,~(0x7E),NUL(0x00),Write,ACK
0.014354870,68,r(0x72),(230)(0xE6),Write,ACK
0.014664020,70,~(0x7E),FS (0x1C),Write,NAK
0.014746320,70,~(0x7E),NUL(0x00),Write,ACK
0.015002530,72,~(0x7E),CR (0x0D),Write,ACK
0.015084820,72,~(0x7E),NUL(0x00),Write,ACK
0.015341060,74,~(0x7E),CR (0x0D),Write,NAK
0.015423360,74,~(0x7E),NUL(0x00),Write,ACK
0.015679030,76,~(0x7E),FS (0x1C),Write,ACK
0.015761320,76,~(0x7E),NUL(0x00),Write,ACK
0.016002900,78,~(0x7E),SO (0x0E),Write,NAK
0.016095480,78,~(0x7E),NUL(0x00),Write,ACK
0.016349120,80,DEL(0x7F),SI (0x0F),Read,ACK
0.016441700,80,DEL(0x7F),NUL(0x00),Read,ACK
0.016697780,82,~(0x7E),US (0x1F),Write,ACK
0.016790360,82,~(0x7E),NUL(0x00),Write,ACK
0.017039170,84,~(0x7E),(SP)(0x20),Write,ACK
0.017131750,84,~(0x7E),NUL(0x00),Write,ACK
0.017377220,86,~(0x7E),!(0x21),Write,ACK
0.017469810,86,~(0x7E),NUL(0x00),Write,ACK
