[GPT_PL][0]name=brhgptpl_0, part_id=0, start_sect=0x0, nr_sects=0x40
[GPT_PL][1]name=reserve0, part_id=1, start_sect=0x40, nr_sects=0xC0
[GPT_PL][2]name=lk_a, part_id=2, start_sect=0x100, nr_sects=0x180
[GPT_PL][3]name=lk_b, part_id=3, start_sect=0x280, nr_sects=0x180
[GPT_PL][4]name=brhgptpl_1, part_id=4, start_sect=0x400, nr_sects=0x40
[GPT_PL][5]name=reserve1, part_id=5, start_sect=0x440, nr_sects=0x1C0
[GPT_PL][6]name=idme_nand, part_id=6, start_sect=0x600, nr_sects=0x200
[GPT_PL][7]name=brhgptpl_2, part_id=7, start_sect=0x800, nr_sects=0x40
[GPT_PL][8]name=reserve2, part_id=8, start_sect=0x840, nr_sects=0x1C0
[GPT_PL][9]name=misc, part_id=9, start_sect=0xA00, nr_sects=0x200
[GPT_PL][10]name=brhgptpl_3, part_id=10, start_sect=0xC00, nr_sects=0x40
[GPT_PL][11]name=reserve3, part_id=11, start_sect=0xC40, nr_sects=0x1C0
[GPT_PL][12]name=tee1, part_id=12, start_sect=0xE00, nr_sects=0x500
[GPT_PL][13]name=boot_a, part_id=13, start_sect=0x1300, nr_sects=0xF40
[GPT_PL][14]name=tee2, part_id=14, start_sect=0x2240, nr_sects=0x500
[GPT_PL][15]name=boot_b, part_id=15, start_sect=0x2740, nr_sects=0xF40
[GPT_PL][16]name=persist, part_id=16, start_sect=0x3680, nr_sects=0x800
[GPT_PL][17]name=userdata, part_id=17, start_sect=0x3E80, nr_sects=0x1BF80
